,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000576,Bognor Regis and Littlehampton,2,-15,SE,UKJ,72995,106496,Bognor Regis and Littlehampton,Con,Con,2.5,-15,Bog,Con hold ,
E14000577,Bolsover,0,3,EM,UKF,71979,98531,Bolsover,Lab,Lab,0.5,3,Bol,Lab hold ,
E14000578,Bolton North East,-7,7,NW,UKD,67895,97992,Bolton North East,Lab,Lab,-6.5,7,Bol,Lab hold ,
E14000579,Bolton South East,-7,6,NW,UKD,69687,105872,Bolton South East,Lab,Lab,-7,6,Bol,Lab hold ,
E14000580,Bolton West,-8,7,NW,UKD,72719,96124,Bolton West,Con,Con,-7.5,7,Bol,Con hold ,
E14000581,Bootle,-10,7,NW,UKD,70145,99224,Bootle,Lab,Lab,-9.5,7,Boo,Lab hold ,
E14000582,Boston and Skegness,4,5,EM,UKF,67064,106272,Boston and Skegness,Con,Con,4.5,5,Bos,Con hold ,
E14000583,Bosworth,0,-1,EM,UKF,79738,104589,Bosworth,Con,Con,0.5,-1,Bos,Con hold ,
E14000584,Bournemouth East,-8,-13,SW,UKK,72275,107483,Bournemouth East,Con,Con,-7.5,-13,Bou,Con hold ,
E14000585,Bournemouth West,-8,-14,SW,UKK,72082,105394,Bournemouth West,Con,Con,-8,-14,Bou,Con hold ,
E14000586,Bracknell,-2,-10,SE,UKJ,81271,111021,Bracknell,Con,Con,-2,-10,Bra,Con hold ,
E14000587,Bradford East,-2,9,YH,UKE,66121,118123,Bradford East,Lab,Lab,-1.5,9,Bra,Lab hold ,
E14000588,Bradford South,-2,8,YH,UKE,63674,105363,Bradford South,Lab,Lab,-2,8,Bra,Lab hold ,
E14000589,Bradford West,-3,9,YH,UKE,63372,117969,Bradford West,Lab,Lab,-2.5,9,Bra,Lab hold ,
E14000590,Braintree,8,-2,EA,UKH,73557,101121,Braintree,Con,Con,8,-2,Bra,Con hold ,
E14000591,Brent Central,2,-9,LO,UKI,77038,147291,Brent Central,Lab,Lab,2.5,-9,Bre,Lab hold ,
E14000592,Brent North,1,-9,LO,UKI,82196,136376,Brent North,Lab,Lab,1.5,-9,Bre,Lab hold ,
E14000593,Brentford and Isleworth,1,-11,LO,UKI,84602,134768,Brentford and Isleworth,Lab,Lab,1.5,-11,Bre,Lab hold ,
E14000594,Brentwood and Ongar,8,-4,EA,UKH,71918,96486,Brentwood and Ongar,Con,Con,8,-4,Bre,Con hold ,
E14000595,Bridgwater and West Somerset,-11,-12,SW,UKK,80491,113002,Bridgwater and West Somerset,Con,Con,-11,-12,Bri,Con hold ,
E14000596,Brigg and Goole,1,7,YH,UKE,68488,88452,Brigg and Goole,Con,Con,1.5,7,Bri,Con hold ,
E14000597,"Brighton, Kemptown",7,-15,SE,UKJ,67858,95938,"Brighton, Kemptown",Lab,Con,7.5,-15,Bri,Lab gain from Con,
E14000598,"Brighton, Pavilion",6,-15,SE,UKJ,76557,112196,"Brighton, Pavilion",Green,Green,6.5,-15,Bri,Green hold ,
E14000599,Bristol East,-7,-9,SW,UKK,71193,100828,Bristol East,Lab,Lab,-6.5,-9,Bri,Lab hold ,
E14000600,Bristol North West,-8,-9,SW,UKK,74743,106013,Bristol North West,Lab,Con,-7.5,-9,Bri,Lab gain from Con,
E14000601,Bristol South,-7,-10,SW,UKK,81496,113526,Bristol South,Lab,Lab,-7,-10,Bri,Lab hold ,
E14000602,Bristol West,-8,-10,SW,UKK,91236,138885,Bristol West,Lab,Lab,-8,-10,Bri,Lab hold ,
E14000603,Broadland,7,2,EA,UKH,73552,98565,Broadland,Con,Con,7,2,Bro,Con hold ,
E14000604,Bromley and Chislehurst,8,-13,LO,UKI,65477,95597,Bromley and Chislehurst,Con,Con,8.5,-13,Bro,Con hold ,
E14000605,Bromsgrove,-4,-5,WM,UKG,73337,97594,Bromsgrove,Con,Con,-3.5,-5,Bro,Con hold ,
E14000606,Broxbourne,8,-6,EA,UKH,72944,102167,Broxbourne,Con,Con,8,-6,Bro,Con hold ,
E14000607,Broxtowe,0,1,EM,UKF,71764,97540,Broxtowe,Con,Con,0.5,1,Bro,Con hold ,
E14000608,Buckingham,2,-5,SE,UKJ,77425,104977,Buckingham,Spk,Con,2.5,-5,Buc,Spk gain from Con,
E14000609,Burnley,-4,10,NW,UKD,64477,87705,Burnley,Lab,Lab,-4,10,Bur,Lab hold ,
E14000610,Burton,-3,1,WM,UKG,75248,106400,Burton,Con,Con,-2.5,1,Bur,Con hold ,
E14000611,Bury North,-6,9,NW,UKD,67580,89662,Bury North,Lab,Con,-5.5,9,Bur,Lab gain from Con,
E14000612,Bury South,-6,8,NW,UKD,73883,99966,Bury South,Lab,Lab,-6,8,Bur,Lab hold ,
E14000613,Bury St Edmunds,9,-2,EA,UKH,85982,117735,Bury St Edmunds,Con,Con,9,-2,Bur,Con hold ,
E14000614,Calder Valley,-4,9,YH,UKE,77754,104805,Calder Valley,Con,Con,-3.5,9,Cal,Con hold ,
E14000615,Camberwell and Peckham,6,-12,LO,UKI,82746,131739,Camberwell and Peckham,Lab,Lab,6,-12,Cam,Lab hold ,
E14000616,Camborne and Redruth,-15,-17,SW,UKK,66944,91485,Camborne and Redruth,Con,Con,-14.5,-17,Cam,Con hold ,
E14000617,Cambridge,6,-1,EA,UKH,83384,115902,Cambridge,Lab,Lab,6.5,-1,Cam,Lab hold ,
E14000618,Cannock Chase,-4,-1,WM,UKG,74532,99126,Cannock Chase,Con,Con,-3.5,-1,Can,Con hold ,
E14000619,Canterbury,12,-12,SE,UKJ,81341,119757,Canterbury,Lab,Con,12,-12,Can,Lab gain from Con,
E14000620,Carlisle,-4,14,NW,UKD,65827,86429,Carlisle,Con,Con,-4,14,Car,Con hold ,
E14000621,Carshalton and Wallington,4,-14,LO,UKI,69981,101780,Carshalton and Wallington,LD,LD,4,-14,Car,LD hold ,
E14000622,Castle Point,10,-7,EA,UKH,68170,89814,Castle Point,Con,Con,10.5,-7,Cas,Con hold ,
E14000623,Central Devon,-13,-13,SW,UKK,72737,93250,Central Devon,Con,Con,-12.5,-13,Cen,Con hold ,
E14000624,Central Suffolk and North Ipswich,10,0,EA,UKH,76666,101581,Central Suffolk and North Ipswich,Con,Con,10,0,Cen,Con hold ,
E14000625,Charnwood,3,0,EM,UKF,77269,101581,Charnwood,Con,Con,3,0,Cha,Con hold ,
E14000626,Chatham and Aylesford,10,-11,SE,UKJ,66355,101469,Chatham and Aylesford,Con,Con,10.5,-11,Cha,Con hold ,
E14000627,Cheadle,-5,3,NW,UKD,73239,93422,Cheadle,Con,Con,-4.5,3,Che,Con hold ,
E14000628,Chelmsford,9,-4,EA,UKH,78580,111032,Chelmsford,Con,Con,9,-4,Che,Con hold ,
E14000629,Chelsea and Fulham,2,-11,LO,UKI,63478,107789,Chelsea and Fulham,Con,Con,2.5,-11,Che,Con hold ,
E14000630,Cheltenham,-7,-7,SW,UKK,77287,106352,Cheltenham,Con,Con,-6.5,-7,Che,Con hold ,
E14000631,Chesham and Amersham,0,-7,SE,UKJ,72547,95355,Chesham and Amersham,Con,Con,0.5,-7,Che,Con hold ,
E14000632,Chesterfield,-1,3,EM,UKF,71625,94140,Chesterfield,Lab,Lab,-0.5,3,Che,Lab hold ,
E14000633,Chichester,-1,-15,SE,UKJ,83396,110722,Chichester,Con,Con,-0.5,-15,Chi,Con hold ,
E14000634,Chingford and Woodford Green,6,-6,LO,UKI,66680,94571,Chingford and Woodford Green,Con,Con,6,-6,Chi,Con hold ,
E14000635,Chippenham,-5,-9,SW,UKK,74218,99897,Chippenham,Con,Con,-4.5,-9,Chi,Con hold ,
E14000636,Chipping Barnet,3,-7,LO,UKI,77807,118408,Chipping Barnet,Con,Con,3.5,-7,Chi,Con hold ,
E14000637,Chorley,-7,9,NW,UKD,74679,102715,Chorley,Lab,Lab,-6.5,9,Cho,Lab hold ,
E14000638,Christchurch,-7,-13,SW,UKK,69303,86089,Christchurch,Con,Con,-6.5,-13,Chr,Con hold ,
E14000639,Cities of London and Westminster,4,-11,LO,UKI,60992,122923,Cities Of London and Westminster,Con,Con,4.5,-11,Cit,Con hold ,
E14000640,City of Chester,-8,1,NW,UKD,74485,96364,City Of Chester,Lab,Lab,-7.5,1,Cit,Lab hold ,
E14000641,City of Durham,-2,13,NE,UKC,68725,100372,City Of Durham,Lab,Lab,-1.5,13,Cit,Lab hold ,
E14000642,Clacton,10,-3,EA,UKH,68936,89901,Clacton,Con,UKIP,10.5,-3,Cla,Con gain from UKIP,
E14000643,Cleethorpes,2,7,YH,UKE,71008,94333,Cleethorpes,Con,Con,2.5,7,Cle,Con hold ,
E14000644,Colchester,9,-3,EA,UKH,74204,122387,Colchester,Con,Con,9.5,-3,Col,Con hold ,
E14000645,Colne Valley,-4,7,YH,UKE,82516,111717,Colne Valley,Lab,Con,-3.5,7,Col,Lab gain from Con,
E14000646,Congleton,-5,2,NW,UKD,72503,94744,Congleton,Con,Con,-5,2,Con,Con hold ,
E14000647,Copeland,-6,13,NW,UKD,62087,78684,Copeland,Con,Lab,-5.5,13,Cop,Con gain from Lab,
E14000648,Corby,4,1,EM,UKF,79775,121295,Corby,Con,Con,4.5,1,Cor,Con hold ,
E14000649,Coventry North East,-1,-3,WM,UKG,75462,124974,Coventry North East,Lab,Lab,-0.5,-3,Cov,Lab hold ,
E14000650,Coventry North West,-1,-4,WM,UKG,73626,112177,Coventry North West,Lab,Lab,-1,-4,Cov,Lab hold ,
E14000651,Coventry South,0,-4,WM,UKG,70397,122998,Coventry South,Lab,Lab,0,-4,Cov,Lab hold ,
E14000652,Crawley,1,-14,SE,UKJ,73936,111664,Crawley,Con,Con,1,-14,Cra,Con hold ,
E14000653,Crewe and Nantwich,-6,1,NW,UKD,74169,110128,Crewe and Nantwich,Lab,Con,-5.5,1,Cre,Lab gain from Con,
E14000654,Croydon Central,6,-14,LO,UKI,78171,121087,Croydon Central,Lab,Con,6,-14,Cro,Lab gain from Con,
E14000655,Croydon North,6,-13,LO,UKI,85941,146065,Croydon North,Lab,Lab,6.5,-13,Cro,Lab hold ,
E14000656,Croydon South,5,-14,LO,UKI,82010,117685,Croydon South,Con,Con,5,-14,Cro,Con hold ,
E14000657,Dagenham and Rainham,9,-8,LO,UKI,69128,112045,Dagenham and Rainham,Lab,Lab,9,-8,Dag,Lab hold ,
E14000658,Darlington,-1,12,NE,UKC,65851,91768,Darlington,Lab,Lab,-1,12,Dar,Lab hold ,
E14000659,Dartford,9,-11,SE,UKJ,75209,113576,Dartford,Con,Con,9.5,-11,Dar,Con hold ,
E14000660,Daventry,1,-3,EM,UKF,72873,99130,Daventry,Con,Con,1.5,-3,Dav,Con hold ,
E14000661,Denton and Reddish,-4,5,NW,UKD,66141,86628,Denton and Reddish,Lab,Lab,-3.5,5,Den,Lab hold ,
E14000662,Derby North,-1,2,EM,UKF,69794,102733,Derby North,Lab,Con,-1,2,Der,Lab gain from Con,
E14000663,Derby South,-1,1,EM,UKF,70240,115414,Derby South,Lab,Lab,-0.5,1,Der,Lab hold ,
