,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000744,Hertford and Stortford,7,-3,EA,UKH,80610,113894,Hertford and Stortford,Con,Con,7.5,-3,Her,Con hold ,
E14000745,Hertsmere,7,-5,EA,UKH,73767,104031,Hertsmere,Con,Con,7.5,-5,Her,Con hold ,
E14000746,Hexham,-4,16,NE,UKC,59708,77272,Hexham,Con,Con,-4,16,Hex,Con hold ,
E14000747,Heywood and Middleton,-5,8,NW,UKD,79989,106600,Heywood and Middleton,Lab,Lab,-5,8,Hey,Lab hold ,
E14000748,High Peak,-3,4,EM,UKF,73336,92063,High Peak,Lab,Con,-3,4,Hig,Lab gain from Con,
E14000749,Hitchin and Harpenden,5,-3,EA,UKH,80333,103624,Hitchin and Harpenden,Con,Con,5.5,-3,Hit,Con hold ,
E14000750,Holborn and St Pancras,4,-10,LO,UKI,86764,154210,Holborn and St Pancras,Lab,Lab,4,-10,Hol,Lab hold ,
E14000751,Hornchurch and Upminster,8,-8,LO,UKI,79331,110402,Hornchurch and Upminster,Con,Con,8,-8,Hor,Con hold ,
E14000752,Hornsey and Wood Green,4,-7,LO,UKI,79247,128655,Hornsey and Wood Green,Lab,Lab,4.5,-7,Hor,Lab hold ,
E14000753,Horsham,1,-15,SE,UKJ,79085,111853,Horsham,Con,Con,1.5,-15,Hor,Con hold ,
E14000754,Houghton and Sunderland South,-1,14,NE,UKC,68324,87575,Houghton and Sunderland South,Lab,Lab,-1,14,Hou,Lab hold ,
E14000755,Hove,5,-15,SE,UKJ,73505,103177,Hove,Lab,Lab,5.5,-15,Hov,Lab hold ,
E14000756,Huddersfield,-3,7,YH,UKE,65269,100197,Huddersfield,Lab,Lab,-2.5,7,Hud,Lab hold ,
E14000757,Huntingdon,5,-2,EA,UKH,82593,119679,Huntingdon,Con,Con,5,-2,Hun,Con hold ,
E14000758,Hyndburn,-5,10,NW,UKD,68341,92364,Hyndburn,Lab,Lab,-5,10,Hyn,Lab hold ,
E14000759,Ilford North,6,-7,LO,UKI,75294,109618,Ilford North,Lab,Lab,6.5,-7,Ilf,Lab hold ,
E14000760,Ilford South,7,-8,LO,UKI,91987,144360,Ilford South,Lab,Lab,7,-8,Ilf,Lab hold ,
E14000761,Ipswich,9,-1,EA,UKH,74499,114348,Ipswich,Lab,Con,9.5,-1,Ips,Lab gain from Con,
E14000762,Isle of Wight,-6,-15,SE,UKJ,108804,140984,Isle Of Wight,Con,Con,-5.5,-15,Isl,Con hold ,
E14000763,Islington North,4,-9,LO,UKI,73326,116074,Islington North,Lab,Lab,4.5,-9,Isl,Lab hold ,
E14000764,Islington South and Finsbury,5,-10,LO,UKI,68127,118926,Islington South and Finsbury,Lab,Lab,5,-10,Isl,Lab hold ,
E14000765,Jarrow,-1,15,NE,UKC,64002,82979,Jarrow,Lab,Lab,-0.5,15,Jar,Lab hold ,
E14000766,Keighley,-3,10,YH,UKE,68865,97371,Keighley,Lab,Con,-3,10,Kei,Lab gain from Con,
E14000767,Kenilworth and Southam,1,-4,WM,UKG,63957,83252,Kenilworth and Southam,Con,Con,1,-4,Ken,Con hold ,
E14000768,Kensington,3,-10,LO,UKI,61133,113446,Kensington,Lab,Con,3,-10,Ken,Lab gain from Con,
E14000769,Kettering,4,0,EM,UKF,70155,100252,Kettering,Con,Con,4,0,Ket,Con hold ,
E14000770,Kingston and Surbiton,0,-13,LO,UKI,81238,127264,Kingston and Surbiton,LD,Con,0.5,-13,Kin,LD gain from Con,
E14000771,Kingston upon Hull East,3,7,YH,UKE,65710,90986,Kingston upon Hull East,Lab,Lab,3.5,7,Kin,Lab hold ,
E14000772,Kingston upon Hull North,3,9,YH,UKE,64148,97969,Kingston upon Hull North,Lab,Lab,3.5,9,Kin,Lab hold ,
E14000773,Kingston upon Hull West and Hessle,3,8,YH,UKE,59100,86690,Kingston upon Hull West and Hessle,Lab,Lab,3,8,Kin,Lab hold ,
E14000774,Kingswood,-6,-8,SW,UKK,68193,91234,Kingswood,Con,Con,-6,-8,Kin,Con hold ,
E14000775,Knowsley,-9,6,NW,UKD,79108,105786,Knowsley,Lab,Lab,-9,6,Kno,Lab hold ,
E14000776,Lancaster and Fleetwood,-4,12,NW,UKD,61922,90139,Lancaster and Fleetwood,Lab,Lab,-4,12,Lan,Lab hold ,
E14000777,Leeds Central,0,9,YH,UKE,81799,152847,Leeds Central,Lab,Lab,0.5,9,Lee,Lab hold ,
E14000778,Leeds East,1,9,YH,UKE,64754,99969,Leeds East,Lab,Lab,1.5,9,Lee,Lab hold ,
E14000779,Leeds North East,1,10,YH,UKE,69097,92604,Leeds North East,Lab,Lab,1,10,Lee,Lab hold ,
E14000780,Leeds North West,0,10,YH,UKE,61974,86016,Leeds North West,Lab,LD,0,10,Lee,Lab gain from LD,
E14000781,Leeds West,-1,9,YH,UKE,64950,94030,Leeds West,Lab,Lab,-0.5,9,Lee,Lab hold ,
E14000782,Leicester East,2,-1,EM,UKF,75430,116911,Leicester East,Lab,Lab,2.5,-1,Lei,Lab hold ,
E14000783,Leicester South,2,-2,EM,UKF,73518,127672,Leicester South,Lab,Lab,2,-2,Lei,Lab hold ,
E14000784,Leicester West,1,-1,EM,UKF,63204,108957,Leicester West,Lab,Lab,1.5,-1,Lei,Lab hold ,
E14000785,Leigh,-8,6,NW,UKD,75905,104932,Leigh,Lab,Lab,-8,6,Lei,Lab hold ,
E14000786,Lewes,8,-15,SE,UKJ,69481,92793,Lewes,Con,Con,8.5,-15,Lew,Con hold ,
E14000787,Lewisham East,7,-13,LO,UKI,66913,110260,Lewisham East,Lab,Lab,7.5,-13,Lew,Lab hold ,
E14000788,Lewisham West and Penge,7,-12,LO,UKI,72290,114967,Lewisham West and Penge,Lab,Lab,7,-12,Lew,Lab hold ,
E14000789,"Lewisham, Deptford",6,-11,LO,UKI,73428,125190,"Lewisham, Deptford",Lab,Lab,6.5,-11,Lew,Lab hold ,
E14000790,Leyton and Wanstead,6,-8,LO,UKI,64580,110795,Leyton and Wanstead,Lab,Lab,6,-8,Ley,Lab hold ,
E14000791,Lichfield,-2,0,WM,UKG,74234,95785,Lichfield,Con,Con,-2,0,Lic,Con hold ,
E14000792,Lincoln,3,5,EM,UKF,74121,111942,Lincoln,Lab,Con,3.5,5,Lin,Lab gain from Con,
E14000793,"Liverpool, Riverside",-10,4,NW,UKD,70829,131888,"Liverpool, Riverside",Lab,Lab,-10,4,Liv,Lab hold ,
E14000794,"Liverpool, Walton",-10,6,NW,UKD,61908,92439,"Liverpool, Walton",Lab,Lab,-10,6,Liv,Lab hold ,
E14000795,"Liverpool, Wavertree",-10,3,NW,UKD,61549,95210,"Liverpool, Wavertree",Lab,Lab,-9.5,3,Liv,Lab hold ,
E14000796,"Liverpool, West Derby",-10,5,NW,UKD,63651,93045,"Liverpool, West Derby",Lab,Lab,-9.5,5,Liv,Lab hold ,
E14000797,Loughborough,2,0,EM,UKF,75217,107916,Loughborough,Con,Con,2,0,Lou,Con hold ,
E14000798,Louth and Horncastle,4,6,EM,UKF,74870,99323,Louth and Horncastle,Con,Con,4,6,Lou,Con hold ,
E14000799,Ludlow,-8,-2,WM,UKG,66374,86265,Ludlow,Con,Con,-8,-2,Lud,Con hold ,
E14000800,Luton North,5,-4,EA,UKH,67329,101258,Luton North,Lab,Lab,5,-4,Lut,Lab hold ,
E14000801,Luton South,4,-5,EA,UKH,67741,119759,Luton South,Lab,Lab,4.5,-5,Lut,Lab hold ,
E14000802,Macclesfield,-4,3,NW,UKD,71712,93692,Macclesfield,Con,Con,-3.5,3,Mac,Con hold ,
E14000803,Maidenhead,-2,-7,SE,UKJ,74187,106307,Maidenhead,Con,Con,-1.5,-7,Mai,Con hold ,
E14000804,Maidstone and The Weald,11,-12,SE,UKJ,73181,108642,Maidstone and The Weald,Con,Con,11,-12,Mai,Con hold ,
E14000805,Makerfield,-9,7,NW,UKD,74320,100385,Makerfield,Lab,Lab,-8.5,7,Mak,Lab hold ,
E14000806,Maldon,11,-4,EA,UKH,69066,91364,Maldon,Con,Con,11,-4,Mal,Con hold ,
E14000807,Manchester Central,-6,5,NW,UKD,86078,158529,Manchester Central,Lab,Lab,-5.5,5,Man,Lab hold ,
E14000808,"Manchester, Gorton",-5,5,NW,UKD,72992,119476,"Manchester, Gorton",Lab,Lab,-4.5,5,Man,Lab hold ,
E14000809,"Manchester, Withington",-6,4,NW,UKD,74102,100773,"Manchester, Withington",Lab,Lab,-6,4,Man,Lab hold ,
E14000810,Mansfield,1,3,EM,UKF,77534,108576,Mansfield,Con,Lab,1.5,3,Man,Con gain from Lab,
E14000811,Meon Valley,-4,-13,SE,UKJ,72738,94535,Meon Valley,Con,Con,-3.5,-13,Meo,Con hold ,
E14000812,Meriden,-2,-5,WM,UKG,81928,111675,Meriden,Con,Con,-1.5,-5,Mer,Con hold ,
E14000813,Mid Bedfordshire,4,-4,EA,UKH,78501,110736,Mid Bedfordshire,Con,Con,4,-4,Mid,Con hold ,
E14000814,Mid Derbyshire,-2,2,EM,UKF,67477,84841,Mid Derbyshire,Con,Con,-2,2,Mid,Con hold ,
E14000815,Mid Dorset and North Poole,-8,-12,SW,UKK,64299,82737,Mid Dorset and North Poole,Con,Con,-8,-12,Mid,Con hold ,
E14000816,Mid Norfolk,6,1,EA,UKH,77154,105925,Mid Norfolk,Con,Con,6.5,1,Mid,Con hold ,
E14000817,Mid Sussex,10,-14,SE,UKJ,81034,112448,Mid Sussex,Con,Con,10,-14,Mid,Con hold ,
E14000818,Mid Worcestershire,-5,-5,WM,UKG,73069,101762,Mid Worcestershire,Con,Con,-4.5,-5,Mid,Con hold ,
E14000819,Middlesbrough,1,12,NE,UKC,61873,95892,Middlesbrough,Lab,Lab,1,12,Mid,Lab hold ,
E14000820,Middlesbrough South and East Cleveland,2,12,NE,UKC,71154,93537,Middlesbrough South and East Cleveland,Con,Lab,2,12,Mid,Con gain from Lab,
E14000821,Milton Keynes North,3,-3,SE,UKJ,86826,132573,Milton Keynes North,Con,Con,3.5,-3,Mil,Con hold ,
E14000822,Milton Keynes South,3,-4,SE,UKJ,89656,134948,Milton Keynes South,Con,Con,3,-4,Mil,Con hold ,
E14000823,Mitcham and Morden,3,-14,LO,UKI,68474,106832,Mitcham and Morden,Lab,Lab,3,-14,Mit,Lab hold ,
E14000824,Mole Valley,0,-14,SE,UKJ,74038,97219,Mole Valley,Con,Con,0,-14,Mol,Con hold ,
E14000825,Morecambe and Lunesdale,-5,12,NW,UKD,66985,89064,Morecambe and Lunesdale,Con,Con,-5,12,Mor,Con hold ,
E14000826,Morley and Outwood,0,8,YH,UKE,75820,98496,Morley and Outwood,Con,Con,0,8,Mor,Con hold ,
E14000827,New Forest East,-6,-13,SE,UKJ,72697,93713,New Forest East,Con,Con,-5.5,-13,New,Con hold ,
E14000828,New Forest West,-6,-12,SE,UKJ,68446,85877,New Forest West,Con,Con,-6,-12,New,Con hold ,
E14000829,Newark,3,4,EM,UKF,73747,104522,Newark,Con,Con,3,4,New,Con hold ,
E14000830,Newbury,-4,-7,SE,UKJ,79512,111848,Newbury,Con,Con,-3.5,-7,New,Con hold ,
E14000831,Newcastle upon Tyne Central,-4,15,NE,UKC,58147,102253,Newcastle Upon Tyne Central,Lab,Lab,-3.5,15,New,Lab hold ,
E14000832,Newcastle upon Tyne East,-2,16,NE,UKC,64243,101547,Newcastle Upon Tyne East,Lab,Lab,-2,16,New,Lab hold ,
E14000833,Newcastle upon Tyne North,-3,16,NE,UKC,67902,92042,Newcastle Upon Tyne North,Lab,Lab,-3,16,New,Lab hold ,
E14000834,Newcastle-under-Lyme,-5,1,WM,UKG,67619,94194,Newcastle-Under-Lyme,Lab,Lab,-4.5,1,New,Lab hold ,
E14000835,Newton Abbot,-12,-14,SW,UKK,69928,90795,Newton Abbot,Con,Con,-12,-14,New,Con hold ,
E14000836,"Normanton, Pontefract and Castleford",1,8,YH,UKE,82592,112182,"Normanton, Pontefract and Castleford",Lab,Lab,1,8,Nor,Lab hold ,
E14000837,North Cornwall,-14,-13,SW,UKK,67192,92772,North Cornwall,Con,Con,-13.5,-13,Nor,Con hold ,
E14000838,North Devon,-12,-12,SW,UKK,74737,95440,North Devon,Con,Con,-12,-12,Nor,Con hold ,
E14000839,North Dorset,-7,-12,SW,UKK,73759,98878,North Dorset,Con,Con,-7,-12,Nor,Con hold ,
E14000840,North Durham,-2,14,NE,UKC,65359,88060,North Durham,Lab,Lab,-2,14,Nor,Lab hold ,
E14000841,North East Bedfordshire,4,-2,EA,UKH,83551,114925,North East Bedfordshire,Con,Con,4,-2,Nor,Con hold ,
E14000842,North East Cambridgeshire,6,0,EA,UKH,82990,119024,North East Cambridgeshire,Con,Con,6,0,Nor,Con hold ,
E14000843,North East Derbyshire,-2,3,EM,UKF,71445,91786,North East Derbyshire,Con,Lab,-1.5,3,Nor,Con gain from Lab,
E14000844,North East Hampshire,-3,-9,SE,UKJ,76918,100563,North East Hampshire,Con,Con,-2.5,-9,Nor,Con hold ,
E14000845,North East Hertfordshire,6,-3,EA,UKH,74000,100639,North East Hertfordshire,Con,Con,6.5,-3,Nor,Con hold ,
E14000846,North East Somerset,-6,-10,SW,UKK,69380,93654,North East Somerset,Con,Con,-6,-10,Nor,Con hold ,
E14000847,North Herefordshire,-8,-4,WM,UKG,67926,89604,North Herefordshire,Con,Con,-8,-4,Nor,Con hold ,
E14000848,North Norfolk,6,2,EA,UKH,68867,86991,North Norfolk,LD,LD,6,2,Nor,LD hold ,
E14000849,North Shropshire,-8,0,WM,UKG,78858,109100,North Shropshire,Con,Con,-8,0,Nor,Con hold ,
E14000850,North Somerset,-9,-11,SW,UKK,80161,101910,North Somerset,Con,Con,-8.5,-11,Nor,Con hold ,
E14000851,North Swindon,-5,-7,SW,UKK,80983,112237,North Swindon,Con,Con,-4.5,-7,Nor,Con hold ,
E14000852,North Thanet,13,-10,SE,UKJ,71478,98218,North Thanet,Con,Con,13,-10,Nor,Con hold ,
E14000853,North Tyneside,-1,16,NE,UKC,79300,104399,North Tyneside,Lab,Lab,-1,16,Nor,Lab hold ,
E14000854,North Warwickshire,-1,-1,WM,UKG,70152,92833,North Warwickshire,Con,Con,-0.5,-1,Nor,Con hold ,
E14000855,North West Cambridgeshire,5,-1,EA,UKH,90318,133227,North West Cambridgeshire,Con,Con,5.5,-1,Nor,Con hold ,
E14000856,North West Durham,-3,13,NE,UKC,69816,94105,North West Durham,Lab,Lab,-2.5,13,Nor,Lab hold ,
E14000857,North West Hampshire,-4,-10,SE,UKJ,79223,107227,North West Hampshire,Con,Con,-4,-10,Nor,Con hold ,
E14000858,North West Leicestershire,0,0,EM,UKF,72193,100109,North West Leicestershire,Con,Con,0,0,Nor,Con hold ,
E14000859,North West Norfolk,5,1,EA,UKH,74402,98029,North West Norfolk,Con,Con,5.5,1,Nor,Con hold ,
E14000860,North Wiltshire,-5,-8,SW,UKK,67851,94290,North Wiltshire,Con,Con,-5,-8,Nor,Con hold ,
E14000861,Northampton North,3,-2,EM,UKF,59144,88634,Northampton North,Con,Con,3,-2,Nor,Con hold ,
E14000862,Northampton South,2,-3,EM,UKF,61287,101461,Northampton South,Con,Con,2.5,-3,Nor,Con hold ,
E14000863,Norwich North,7,1,EA,UKH,64515,89235,Norwich North,Con,Con,7.5,1,Nor,Con hold ,
E14000864,Norwich South,8,0,EA,UKH,74875,103284,Norwich South,Lab,Lab,8,0,Nor,Lab hold ,
E14000865,Nottingham East,2,1,EM,UKF,60464,109797,Nottingham East,Lab,Lab,2.5,1,Not,Lab hold ,
E14000866,Nottingham North,2,2,EM,UKF,65918,100690,Nottingham North,Lab,Lab,2,2,Not,Lab hold ,
E14000867,Nottingham South,1,1,EM,UKF,68987,118722,Nottingham South,Lab,Lab,1.5,1,Not,Lab hold ,
E14000868,Nuneaton,0,-2,WM,UKG,68037,93717,Nuneaton,Con,Con,0,-2,Nun,Con hold ,
E14000869,Old Bexley and Sidcup,9,-12,LO,UKI,66035,89400,Old Bexley and Sidcup,Con,Con,9,-12,Old,Con hold ,
E14000870,Oldham East and Saddleworth,-5,7,NW,UKD,71475,105960,Oldham East and Saddleworth,Lab,Lab,-4.5,7,Old,Lab hold ,
E14000871,Oldham West and Royton,-6,7,NW,UKD,71652,107334,Oldham West and Royton,Lab,Lab,-5.5,7,Old,Lab hold ,
E14000872,Orpington,8,-14,LO,UKI,68129,91917,Orpington,Con,Con,8,-14,Orp,Con hold ,
E14000873,Oxford East,0,-5,SE,UKJ,78978,123350,Oxford East,Lab,Lab,0.5,-5,Oxf,Lab hold ,
E14000874,Oxford West and Abingdon,0,-6,SE,UKJ,76174,109678,Oxford West and Abingdon,LD,Con,0,-6,Oxf,LD gain from Con,
E14000875,Pendle,-5,11,NW,UKD,64573,90696,Pendle,Con,Con,-4.5,11,Pen,Con hold ,
E14000876,Penistone and Stocksbridge,-3,6,YH,UKE,70817,89284,Penistone and Stocksbridge,Lab,Lab,-3,6,Pen,Lab hold ,
E14000877,Penrith and The Border,-5,15,NW,UKD,65209,82409,Penrith and The Border,Con,Con,-4.5,15,Pen,Con hold ,
E14000878,Peterborough,5,0,EA,UKH,72530,122987,Peterborough,Lab,Con,5,0,Pet,Lab gain from Con,
E14000879,"Plymouth, Moor View",-14,-15,SW,UKK,68246,93933,"Plymouth, Moor View",Con,Con,-13.5,-15,Ply,Con hold ,
E14000880,"Plymouth, Sutton and Devonport",-14,-16,SW,UKK,73274,114519,"Plymouth, Sutton and Devonport",Lab,Con,-14,-16,Ply,Lab gain from Con,
E14000881,Poole,-9,-13,SW,UKK,72557,98567,Poole,Con,Con,-8.5,-13,Poo,Con hold ,
E14000882,Poplar and Limehouse,8,-10,LO,UKI,82081,161144,Poplar and Limehouse,Lab,Lab,8,-10,Pop,Lab hold ,
E14000883,Portsmouth North,-3,-13,SE,UKJ,73105,100174,Portsmouth North,Con,Con,-2.5,-13,Por,Con hold ,
E14000884,Portsmouth South,-2,-14,SE,UKJ,71639,114544,Portsmouth South,Lab,Con,-2,-14,Por,Lab gain from Con,
E14000885,Preston,-7,11,NW,UKD,59981,96426,Preston,Lab,Lab,-6.5,11,Pre,Lab hold ,
E14000886,Pudsey,-1,10,YH,UKE,70533,91879,Pudsey,Con,Con,-1,10,Pud,Con hold ,
E14000887,Putney,3,-12,LO,UKI,63923,98091,Putney,Con,Con,3,-12,Put,Con hold ,
E14000888,Rayleigh and Wickford,9,-5,EA,UKH,77174,101041,Rayleigh and Wickford,Con,Con,9.5,-5,Ray,Con hold ,
E14000889,Reading East,-3,-7,SE,UKJ,73232,115284,Reading East,Lab,Con,-2.5,-7,Rea,Lab gain from Con,
E14000890,Reading West,-3,-8,SE,UKJ,72567,104157,Reading West,Con,Con,-3,-8,Rea,Con hold ,
E14000891,Redcar,1,13,NE,UKC,64826,87215,Redcar,Lab,Lab,1.5,13,Red,Lab hold ,
E14000892,Redditch,-4,-6,WM,UKG,65531,90889,Redditch,Con,Con,-4,-6,Red,Con hold ,
E14000893,Reigate,2,-14,SE,UKJ,73429,106027,Reigate,Con,Con,2,-14,Rei,Con hold ,
E14000894,Ribble Valley,-3,12,NW,UKD,77379,99620,Ribble Valley,Con,Con,-3,12,Rib,Con hold ,
E14000895,Richmond (Yorks),-3,11,YH,UKE,79062,109492,Richmond (Yorks),Con,Con,-2.5,11,Ric,Con hold ,
E14000896,Richmond Park,1,-12,LO,UKI,77303,125093,Richmond Park,Con,Con,1,-12,Ric,Con hold ,
E14000897,Rochdale,-4,8,NW,UKD,77248,111859,Rochdale,Lab,Lab,-4,8,Roc,Lab hold ,
E14000898,Rochester and Strood,11,-10,SE,UKJ,77119,112916,Rochester and Strood,Con,Con,11,-10,Roc,Con hold ,
E14000899,Rochford and Southend East,10,-5,EA,UKH,71935,105200,Rochford and Southend East,Con,Con,10.5,-5,Roc,Con hold ,
E14000900,Romford,7,-7,LO,UKI,72594,104539,Romford,Con,Con,7.5,-7,Rom,Con hold ,
E14000901,Romsey and Southampton North,-5,-11,SE,UKJ,66519,91141,Romsey and Southampton North,Con,Con,-4.5,-11,Rom,Con hold ,
E14000902,Rossendale and Darwen,-5,9,NW,UKD,73779,98020,Rossendale and Darwen,Con,Con,-4.5,9,Ros,Con hold ,
E14000903,Rother Valley,1,4,YH,UKE,74275,96352,Rother Valley,Lab,Lab,1,4,Rot,Lab hold ,
E14000904,Rotherham,0,5,YH,UKE,63698,91706,Rotherham,Lab,Lab,0.5,5,Rot,Lab hold ,
E14000905,Rugby,0,-3,WM,UKG,71655,102733,Rugby,Con,Con,0.5,-3,Rug,Con hold ,
E14000906,"Ruislip, Northwood and Pinner",1,-7,LO,UKI,73216,97520,"Ruislip, Northwood and Pinner",Con,Con,1.5,-7,Rui,Con hold ,
E14000907,Runnymede and Weybridge,-1,-12,SE,UKJ,73771,108976,Runnymede and Weybridge,Con,Con,-1,-12,Run,Con hold ,
E14000908,Rushcliffe,3,1,EM,UKF,73278,98568,Rushcliffe,Con,Con,3.5,1,Rus,Con hold ,
E14000909,Rutland and Melton,4,2,EM,UKF,79693,104112,Rutland and Melton,Con,Con,4,2,Rut,Con hold ,
E14000910,Saffron Walden,7,-2,EA,UKH,80615,111701,Saffron Walden,Con,Con,7,-2,Saf,Con hold ,
E14000911,Salford and Eccles,-7,5,NW,UKD,74291,117990,Salford and Eccles,Lab,Lab,-6.5,5,Sal,Lab hold ,
E14000912,Salisbury,-6,-11,SW,UKK,69582,96573,Salisbury,Con,Con,-5.5,-11,Sal,Con hold ,
E14000913,Scarborough and Whitby,2,11,YH,UKE,73511,96695,Scarborough and Whitby,Con,Con,2.5,11,Sca,Con hold ,
E14000914,Scunthorpe,2,6,YH,UKE,64025,91641,Scunthorpe,Lab,Lab,2,6,Scu,Lab hold ,
E14000915,Sedgefield,-1,13,NE,UKC,62844,84279,Sedgefield,Lab,Lab,-0.5,13,Sed,Lab hold ,
E14000916,Sefton Central,-9,8,NW,UKD,67744,83315,Sefton Central,Lab,Lab,-9,8,Sef,Lab hold ,
E14000917,Selby and Ainsty,2,8,YH,UKE,76082,101373,Selby and Ainsty,Con,Con,2,8,Sel,Con hold ,
E14000918,Sevenoaks,9,-13,SE,UKJ,71958,96949,Sevenoaks,Con,Con,9.5,-13,Sev,Con hold ,
E14000919,Sheffield Central,-1,4,YH,UKE,72321,130085,Sheffield Central,Lab,Lab,-1,4,She,Lab hold ,
E14000920,Sheffield South East,0,4,YH,UKE,70422,94106,Sheffield South East,Lab,Lab,0,4,She,Lab hold ,
E14000921,"Sheffield, Brightside and Hillsborough",-2,5,YH,UKE,70874,112154,"Sheffield, Brightside and Hillsborough",Lab,Lab,-1.5,5,She,Lab hold ,
E14000922,"Sheffield, Hallam",-3,5,YH,UKE,72351,92386,"Sheffield, Hallam",Lab,LD,-2.5,5,She,Lab gain from LD,
E14000923,"Sheffield, Heeley",-2,4,YH,UKE,67950,94955,"Sheffield, Heeley",Lab,Lab,-2,4,She,Lab hold ,
E14000924,Sherwood,2,3,EM,UKF,73349,100376,Sherwood,Con,Con,2.5,3,She,Con hold ,
E14000925,Shipley,-2,10,YH,UKE,70464,95974,Shipley,Con,Con,-2,10,Shi,Con hold ,
E14000926,Shrewsbury and Atcham,-9,-1,WM,UKG,76400,106407,Shrewsbury and Atcham,Con,Con,-8.5,-1,Shr,Con hold ,
E14000927,Sittingbourne and Sheppey,12,-10,SE,UKJ,76018,117975,Sittingbourne and Sheppey,Con,Con,12,-10,Sit,Con hold ,
E14000928,Skipton and Ripon,-4,11,YH,UKE,76645,99840,Skipton and Ripon,Con,Con,-3.5,11,Ski,Con hold ,
E14000929,Sleaford and North Hykeham,4,4,EM,UKF,87972,118053,Sleaford and North Hykeham,Con,Con,4,4,Sle,Con hold ,
E14000930,Slough,-2,-8,SE,UKJ,86366,142082,Slough,Lab,Lab,-2,-8,Slo,Lab hold ,
E14000931,Solihull,-2,-4,WM,UKG,77956,102258,Solihull,Con,Con,-2,-4,Sol,Con hold ,
E14000932,Somerton and Frome,-8,-11,SW,UKK,83281,106834,Somerton and Frome,Con,Con,-7.5,-11,Som,Con hold ,
E14000933,South Basildon and East Thurrock,9,-7,EA,UKH,71155,100461,South Basildon and East Thurrock,Con,Con,9.5,-7,Sou,Con hold ,
E14000934,South Cambridgeshire,6,-2,EA,UKH,84132,115828,South Cambridgeshire,Con,Con,6,-2,Sou,Con hold ,
E14000935,South Derbyshire,-2,1,EM,UKF,73923,102385,South Derbyshire,Con,Con,-1.5,1,Sou,Con hold ,
E14000936,South Dorset,-9,-15,SW,UKK,71534,93451,South Dorset,Con,Con,-8.5,-15,Sou,Con hold ,
E14000937,South East Cambridgeshire,7,-1,EA,UKH,84570,120504,South East Cambridgeshire,Con,Con,7.5,-1,Sou,Con hold ,
E14000938,South East Cornwall,-14,-14,SW,UKK,71071,89989,South East Cornwall,Con,Con,-14,-14,Sou,Con hold ,
E14000939,South Holland and The Deepings,4,3,EM,UKF,76460,107467,South Holland and The Deepings,Con,Con,4.5,3,Sou,Con hold ,
E14000940,South Leicestershire,1,-2,EM,UKF,76851,105253,South Leicestershire,Con,Con,1,-2,Sou,Con hold ,
E14000941,South Norfolk,9,0,EA,UKH,80721,107778,South Norfolk,Con,Con,9,0,Sou,Con hold ,
E14000942,South Northamptonshire,2,-4,EM,UKF,85781,117338,South Northamptonshire,Con,Con,2,-4,Sou,Con hold ,
E14000943,South Ribble,-8,9,NW,UKD,76489,99596,South Ribble,Con,Con,-7.5,9,Sou,Con hold ,
E14000944,South Shields,0,16,NE,UKC,62730,83621,South Shields,Lab,Lab,0,16,Sou,Lab hold ,
E14000945,South Staffordshire,-6,0,WM,UKG,72771,97353,South Staffordshire,Con,Con,-6,0,Sou,Con hold ,
E14000946,South Suffolk,10,-1,EA,UKH,73836,94900,South Suffolk,Con,Con,10.5,-1,Sou,Con hold ,
E14000947,South Swindon,-4,-8,SW,UKK,73926,108126,South Swindon,Con,Con,-4,-8,Sou,Con hold ,
E14000948,South Thanet,13,-11,SE,UKJ,70970,101730,South Thanet,Con,Con,13.5,-11,Sou,Con hold ,
E14000949,South West Bedfordshire,3,-5,EA,UKH,79285,111581,South West Bedfordshire,Con,Con,3.5,-5,Sou,Con hold ,
E14000950,South West Devon,-13,-14,SW,UKK,71035,89446,South West Devon,Con,Con,-13,-14,Sou,Con hold ,
E14000951,South West Hertfordshire,3,-6,EA,UKH,79668,110191,South West Hertfordshire,Con,Con,3,-6,Sou,Con hold ,
E14000952,South West Norfolk,7,0,EA,UKH,76970,109166,South West Norfolk,Con,Con,7,0,Sou,Con hold ,
E14000953,South West Surrey,-2,-12,SE,UKJ,77548,106199,South West Surrey,Con,Con,-2,-12,Sou,Con hold ,
E14000954,South West Wiltshire,-7,-11,SW,UKK,73018,103010,South West Wiltshire,Con,Con,-6.5,-11,Sou,Con hold ,
E14000955,"Southampton, Itchen",-5,-13,SE,UKJ,72281,110014,"Southampton, Itchen",Con,Con,-4.5,-13,Sou,Con hold ,
E14000956,"Southampton, Test",-5,-12,SE,UKJ,70270,112751,"Southampton, Test",Lab,Lab,-5,-12,Sou,Lab hold ,
E14000957,Southend West,10,-6,EA,UKH,66876,92501,Southend West,Con,Con,10,-6,Sou,Con hold ,
E14000958,Southport,-9,9,NW,UKD,67326,92050,Southport,Con,LD,-8.5,9,Sou,Con gain from LD,
E14000959,Spelthorne,-1,-11,SE,UKJ,71592,99120,Spelthorne,Con,Con,-0.5,-11,Spe,Con hold ,
E14000960,St Albans,6,-5,EA,UKH,75825,103086,St Albans,Con,Con,6.5,-5,St ,Con hold ,
E14000961,St Austell and Newquay,-15,-15,SW,UKK,76607,106443,St Austell and Newquay,Con,Con,-14.5,-15,St ,Con hold ,
